,,,,,,,01/01/2017
code,name,description,refreshed_at,from_date,to_date,,Start Date
1NOMY,1nomij (1NOMY),Stock Prices for 1nomij from the Euronext Stock Exchange. Currency: EUR. Market: NYSE Euronext Amsterdam,19/02/2014 16:56,14/02/2014,18/02/2014,,TRUE
2778C,Essere Benessere (2778C),Stock Prices for Essere Benessere from the Euronext Stock Exchange. Currency: EUR. Market: ,12/08/2014 16:59,11/08/2014,12/08/2014,,TRUE
2CRSI,2crsi (2CRSI),Stock Prices for 2crsi from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,22/06/2018,10/01/2019,,FALSE
3INL,3i Infrastructure (3INL),Stock Prices for 3i Infrastructure from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:31,12/08/2013,12/08/2013,,TRUE
5938C,Steam France (5938C),Stock Prices for Steam France from the Euronext Stock Exchange. Currency: EUR. Market: ,12/08/2014 17:10,08/08/2014,11/08/2014,,TRUE
888L,888 Holdings (888L),Stock Prices for 888 Holdings from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:32,30/08/2013,30/08/2013,,TRUE
A2AM,A2a (A2AM),Stock Prices for A2a from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:36,22/04/2013,22/04/2013,,TRUE
AAA,Ap Alternat Assets (AAA),Stock Prices for Ap Alternat Assets from the Euronext Stock Exchange. Currency: USD. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AALB,Aalberts Industr (AALB),Stock Prices for Aalberts Industr from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
AALL,Anglo American (AALL),Stock Prices for Anglo American from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,17/10/2012,17/10/2012,,TRUE
AB,Ab Science (AB),Stock Prices for Ab Science from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ABBNZ,Abb N (ABBNZ),Stock Prices for Abb N from the Euronext Stock Exchange. Currency: CHF. Market: Arca Europe,12/12/2014 20:34,29/08/2013,02/05/2014,,TRUE
ABBV,Abbvie (ABBV),Stock Prices for Abbvie from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,31/08/2017 15:58,29/11/2013,29/08/2017,,TRUE
ABCA,Abc Arbitrage (ABCA),Stock Prices for Abc Arbitrage from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ABCBS,Abcarbibsaa29jun18 (ABCBS),Stock Prices for Abcarbibsaa29jun18 from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Access Paris,02/07/2018 17:15,05/05/2017,27/06/2018,,FALSE
ABEDS,Abeo Ds (ABEDS),Stock Prices for Abeo Ds from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,07/02/2018 17:15,29/01/2018,07/02/2018,,FALSE
ABEE,Abertis Infraestr (ABEE),Stock Prices for Abertis Infraestr from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:29,05/09/2013,05/09/2013,,TRUE
ABEO,Abeo (ABEO),Stock Prices for Abeo from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,11/10/2016,10/01/2019,,TRUE
ABFL,A B Foods (ABFL),Stock Prices for A B Foods from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,26/11/2013,26/11/2013,,TRUE
ABGE,Abengoa Cl A (ABGE),Stock Prices for Abengoa Cl A from the Euronext Stock Exchange. Currency: EUR. Market: Arca Europe,12/12/2014 20:31,30/07/2012,30/07/2012,,TRUE
ABGL,African Barrick Go (ABGL),Stock Prices for African Barrick Go from the Euronext Stock Exchange. Currency: GBX. Market: Arca Europe,12/12/2014 20:33,19/08/2013,19/08/2013,,TRUE
ABI,Ab Inbev (ABI),Stock Prices for Ab Inbev from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ABIO,Albioma (ABIO),Stock Prices for Albioma from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Paris,10/01/2019 17:15,14/02/2014,10/01/2019,,TRUE
ABIT,Ab Inbev (ABIT),Stock Prices for Ab Inbev from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,10/10/2016 15:58,10/10/2016,10/10/2016,,TRUE
ABLX,Ablynx (ABLX),Stock Prices for Ablynx from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Brussels,12/06/2018 17:17,14/02/2014,12/06/2018,,TRUE
ABN,Abn Amro Group (ABN),Stock Prices for Abn Amro Group from the Euronext Stock Exchange. Currency: EUR. Market: Euronext Amsterdam,10/01/2019 17:15,20/11/2015,10/01/2019,,TRUE
