Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris,EUR,26.8,28,26.8,27.6,43480.72292,CET,8587,235377.5
2CRSI,FR0013341781,2CRSI,Euronext Paris,EUR,8.96,8.96,8.76,8.84,43480.72569,CET,1616,14347.78
2VALORISE,BE0974275076,VALOR,Euronext Brussels,EUR,5.65,5.7,5.65,5.7,43480.6875,CET,224,1275.6
4SERVICE CLOUD,CH0299791381,MLOVE,Euronext Access Paris,EUR,0.0915,0.0915,0.0915,0.0915,43480.6875,CET,200,18.3
A TOUTE VITESSE,FR0010050773,MLATV,Euronext Access Paris,EUR,1.7,1.7,1.7,1.7,43445.47917,CET,500,850
A.S.T. GROUPE,FR0000076887,ASP,Euronext Paris,EUR,5.99,6.21,5.55,5.75,43480.73264,CET,37625,225941.77
AALBERTS INDUSTR,NL0000852564,AALB,Euronext Amsterdam,EUR,28.94,29.3,28.62,28.84,43480.73472,CET,308600,8920528.3
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,63.3,63.95,62.84,63.54,43480.73264,CET,1860393,118024212.9
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,3.85,3.87,3.8,3.836,43480.73264,CET,25114,96342.23
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,6.2,6.25,6.16,6.22,43480.73264,CET,22509,139365.74
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,32,32,31.7,31.7,43480.47986,CET,200,6361
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,10.7,11.24,10.5,10.92,43480.73264,CET,17136,185953.82
ABN AMRO Group,NL0011540547,ABN,Euronext Amsterdam,EUR,22.15,22.28,21.88,22.08,43480.73403,CET,1885455,41575976.66
ABO GROUP,BE0974278104,ABO,Euronext Brussels,EUR,2.22,2.22,2.22,2.22,43479.6875,CET,44,97.68
ACACIA PHARMA,GB00BYWF9Y76,ACPH,Euronext Brussels,EUR,1.6584,1.6584,1.55,1.55,43480.72014,CET,44853,72204.15
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.51,0.518,0.51,0.518,43480.63403,CET,7040,3603.38
