List,Code,ISIN Code,Market,Compartment,Country of Incorporation,Delisted,Notes
1000MERCIS,ALMIL,FR0010285965,Euronext GROWTH*,,France,No,
2CRSI ,2CRSI,FR0013341781,EURONEXT,C,France,No,
A2MICILE,,FR0010795476,Euronext GROWTH*,,France,Yes,Radiation - Delisted 23/04/2018
AB SCIENCE,AB,FR0010557264,EURONEXT,B,France,No,
ABC ARBITRAGE,ABCA,FR0004040608,EURONEXT,B,France,No,
ABEO SA,ABEO,FR0013185857,EURONEXT,c,France,No,
ABIVAX,ABVX,FR0012333284,EURONEXT,B,France,No,
ACTEOS,EOS,FR0000076861,EURONEXT,C,France,No,
ACTIA,ATI,FR0000076655,EURONEXT,C,France,No,
ACTIPLAY (GROUPE) ( ex - CONCOURSMANIA),ALACT,FR0011038348,Euronext GROWTH*,,France,No,
ADEUNIS,ALARF,FR0013284627,Euronext GROWTH*,,France,No,
ADL PARTNER,ALP,FR0000062978,EURONEXT,C,France,No,
ADOCIA,ADOC,FR0011184241,EURONEXT,C,France,No,
ADOMOS,ALADO,FR0013247244,Euronext GROWTH*,,France,No,
ADTHINK,ALADM,FR0010457531,Euronext GROWTH*,,France,No,
ADUX,ADUX,FR0012821890,EURONEXT,C,France,No,
ADVICENNE,ADVIC,FR0013296746,Euronext GROWTH*,,France,No,
ADVINI,ADVI,FR0000053043,EURONEXT,C,France,No,
AG3i,MLAGI,FR0011908045,Euronext Access**,,France,No,
AIR MARINE,MLAIM,FR0013285103,Euronext Access**,,France,No,
ALBIOMA,ABIO,FR0000060402,EURONEXT,B,France,No,
ALES GROUPE,ALPHY,FR0000054652,Euronext GROWTH*,,France,No,
ALPHA M.O.S,ALM,FR0000062804,EURONEXT,C,France,No,
ALTUR Investissemnt - ex TURENNE INVESTISSMENT,ALTUR,FR0010395681,EURONEXT,C,France,No,
AMOEBA,AMEBA,FR0011051598,EURONEXT,C,France,No,
AMPLITUDE SURGICAL,AMPLI,FR0012789667,EURONEXT,B,France,No,
ANEVIA,ALANV,FR0011910652,Euronext GROWTH*,,France,No,
ANTEVENIO,ALANT,ES0109429037,Euronext GROWTH*,,Espagne,No,
AQUILA,ALAQU,FR0010340711,Euronext GROWTH*,,France,No,
ARCHOS,JXR,FR0000182479,EURONEXT,C,France,No,
ARTPRICE.COM,PRC,FR0000074783,EURONEXT,C,France,No,
ASHLEY & MANSON,MLAEM,FR0012968485,Euronext Access**,,France,No,
AST GROUPE,ASP,FR0000076887,EURONEXT,C,France,No,
ASTELLIA,,FR0004176535,Euronext GROWTH*,,France,Yes,Radiation - Delisted 08/03/2018
ATARI,ATA,FR0010478248,EURONEXT,C,France,No,
ATEME,ATEME,FR0011992700,EURONEXT,C,France,No,
ATENOR GROUP,ATEB,BE0003837540,EURONEXT,B,Belgium,No,
AUBAY S.A.,AUB,FR0000063737,EURONEXT,C,France,No,
AUDIOVALLEY S.A,AUB,FR0000063737,Euronext GROWTH*,,France,No,
AUPLATA,ALAUP,FR0010397760,Euronext GROWTH*,,France,No,
AUREA,AURE,FR0000039232,EURONEXT,C,France,No,
AURES TECHNOLOGIES,AURS,FR0013183589,EURONEXT,C,France,No,
AUSY,,FR0000072621,EURONEXT,C,France,Yes,Radiation - Delisted 23/02/2017
AVENIR FINANCE,ADV,FR0004152874,EURONEXT,C,France,No,
AWOX,AWOX,FR0011800218,EURONEXT,C,France,No,
BAIKOWSKI,ALBKK,FR0013384369,Euronext GROWTH*,,France,No,
BALYO,BALYO,FR0013258399,EURONEXT,C,France,No,
BARBARA BUI,BUI,FR0000062788,EURONEXT,C,France,No,
BARCO,BAR,BE0003790079,EURONEXT,B,Belgium,No,
BASTIDE LE CONFORT,BLC,FR0000035370,EURONEXT,C,France,No,
BD MULTIMEDIA,ALBDM,FR0000035305,Euronext GROWTH*,,France,No,
BE Semiconductor,#N/A,NL0000339760,EURONEXT,B,Netherlands,No,
BIGBEN INTERACTIVE,BIG,FR0000074072,EURONEXT,C,France,No,
BILENDI,ALBLD,FR0004174233,Euronext GROWTH*,,France,No,
BIOCORP,ALCOR,FR0012788065,Euronext GROWTH*,,France,No,
BIOM UP SA,BUP,FR0013284080,EURONEXT,C,France,No,
BIOPHYTIS,ALBPS,FR0012816825,Euronext GROWTH*,,France,No,
BIOSYNEX,ALBIO,FR0011005933,Euronext GROWTH*,,France,No,
BIO-UV GROUP,ALTUV,FR0013345493,Euronext GROWTH*,,France,No,
BLUELINEA,ALBLU,FR0011041011,Euronext GROWTH*,,France,No,
BLUE SHARK POWER,MLBSP,FR0013340973,Euronext Access**,,France,No,
BODY ONE,MLONE,FR0010106039,Euronext Access**,,France,No,
BOIRON,BOI,FR0000061129,EURONEXT,A,France,No,
BONE THERAPEUTICS,BOTHE,BE0974280126,EURONEXT,C,Belgium,No,
BOURSE DIRECT,BSD,FR0000074254,EURONEXT,C,France,No,
